REGIÓN,IES,PERSONA JURÍDICA,SEDE-LOCAL-FILIAL,DIRECCIÓN,PROGRAMAS LICENCIADOS,NIVEL,MODALIDAD
"LIMA
",ALEXANDER VON HUMBOLDT,ASOCIACIÓN CULTURAL PERUANO ALEMANA DE PROMOCIÓN EDUCATIVA ALEXANDER VON HUMBOLTD ,SEDE PRINCIPAL,AV. BENAVIDES N° 3572 - SANTIAGO DE SURCO,ADMINISTRACIÓN DE EMPRESAS CON MENCIÓN EN GESTIÓN EMPRESARIAL,Profesional Técnico,PRESENCIAL
"LIMA
",ALEXANDER VON HUMBOLDT,ASOCIACIÓN CULTURAL PERUANO ALEMANA DE PROMOCIÓN EDUCATIVA ALEXANDER VON HUMBOLTD ,SEDE PRINCIPAL,AV. BENAVIDES N° 3572 - SANTIAGO DE SURCO,ADMINISTRACIÓN DE EMPRESAS CON MENCIÓN EN EMPRESAS INDUSTRIALES,Profesional Técnico,PRESENCIAL
"LIMA
",ALEXANDER VON HUMBOLDT,ASOCIACIÓN CULTURAL PERUANO ALEMANA DE PROMOCIÓN EDUCATIVA ALEXANDER VON HUMBOLTD ,SEDE PRINCIPAL,AV. BENAVIDES N° 3572 - SANTIAGO DE SURCO,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LIMA,BSG INSTITUTE,BS GRUPO S.A.C,SEDE PRINCIPAL-LOCAL 01,AV. PARDO N° 650-664,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LIMA,BSG INSTITUTE,BS GRUPO S.A.C,SEDE PRINCIPAL-LOCAL 01,AV. PARDO N° 650-664,DESARROLLO DE SISTEMAS DE INFORMACIÓN,Profesional Técnico,PRESENCIAL
LIMA,CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,CEPEBAN S.A.C.,SEDE PRINCIPAL,AV. AREQUIPA N°2661,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,CEPEBAN S.A.C.,LOCAL 02,AV. ALFREDO MENDIOLA N° 3849,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA,CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,CEPEBAN S.A.C.,LOCAL 03,JR. ANTISUYO N° 162,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LIMA - HUARAL,CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,CEPEBAN S.A.C.,FILIAL HUARAL - LOCAL 04,AV. MORALES BERMÚDEZ S/N,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
JUNÍN,CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,CEPEBAN S.A.C.,FILIAL HUANCAYO - LOCAL 05,JR. ICA N° 707,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
