UNIVERSIDAD,DEPARTAMENTO,LICENCIAMIENTO,GESTION
Universidad Autónoma de Ica,Ica/Chincha,13-06-2020,Ica/Chincha
Facultad de Teología Pontificia y Civil de Lima,Lima/Lima,14-03-2020,Lima/Lima
Universidad Nacional Federico Villarreal,Lima/Lima,11-03-2020,Lima/Lima
Universidad Tecnológica de los Andes,Apurímac/Abancay,29-02-2020,Apurímac/Abancay
Universidad Peruana Los Andes,Junín/Huancayo,18-02-2020,Junín/Huancayo
Universidad Nacional Micaela Bastidas de Apurímac,Apurímac/Abancay,05-02-2020,Apurímac/Abancay
Universidad Nacional José Faustino Sánchez Carrión,Lima/Huaura,28-01-2020,Lima/Huaura
Universidad Señor de Sipán,Lambayeque/Chiclayo,03-01-2020,Lambayeque/Chiclayo
Universidad Nacional del Callao,Callao/Prov. Const. del Callao,24-12-2019,Callao/Prov. Const. del Callao
Universidad Nacional de Educación Enrique Guzmán y Valle,Lima/Lima,13-12-2019,Lima/Lima
Universidad Privada Norbert Wiener,Lima/Lima,11-12-2019,Lima/Lima
Universidad Nacional de Tumbes,Tumbes/Tumbes,03-12-2019,Tumbes/Tumbes
Universidad Privada San Juan Bautista,Lima/Lima,08-11-2019,Lima/Lima
Universidad Nacional Amazónica de Madre de Dios,Madre de Dios/Tambopata,12-10-2019,Madre de Dios/Tambopata
Universidad Nacional Agraria de la Selva,Huánuco/Leoncio Prado,29-08-2019,Huánuco/Leoncio Prado
Universidad Nacional Daniel Alcides Carrión,Pasco/Pasco,22-08-2019,Pasco/Pasco
Universidad Privada Peruano Alemana,Lima/Lima,06-08-2019,Lima/Lima
Universidad Nacional Hermilio Valdizán,Huánuco/Huánuco,26-07-2019,Huánuco/Huánuco
Universidad Nacional de Huancavelica,Huancavelica/Huancavelica,03-07-2019,Huancavelica/Huancavelica
Universidad Nacional Intercultural de Quillabamba,Cusco/La Convención,02-07-2019,Cusco/La Convención
Universidad Tecnológica del Perú,Lima/Lima,13-06-2019,Lima/Lima
Universidad Privada de Huancayo Franklin Roosevelt,Junín/Huancayo,12-06-2019,Junín/Huancayo
Universidad César Vallejo,La Libertad/Trujillo,12-06-2019,La Libertad/Trujillo
Universidad de Huánuco,Huánuco/Huánuco,06-06-2019,Huánuco/Huánuco
Universidad Nacional de Piura,Piura/Piura,06-05-2019,Piura/Piura
Universidad Nacional de San Antonio Abad del Cusco,Cusco/Cusco,04-05-2019,Cusco/Cusco
Universidad Nacional de San Martín,San Martín/San Martín,01-05-2019,San Martín/San Martín
Universidad Nacional de Frontera,Piura/Sullana,06-04-2019,Piura/Sullana
Universidad Nacional del Santa,Áncash/Santa,12-03-2019,Áncash/Santa
Universidad Nacional del Centro del Perú,Junín/Huancayo,01-03-2019,Junín/Huancayo
Universidad Católica de Trujillo Benedicto XVI,La Libertad/Trujillo,21-02-2019,La Libertad/Trujillo
Universidad Nacional Autónoma de Tayacaja “Daniel Hernández Morillo”,Huancavelica/Tayacaja,15-02-2019,Huancavelica/Tayacaja
Universidad Nacional de la Amazonía Peruana,Loreto/Maynas,01-02-2019,Loreto/Maynas
Universidad Nacional Santiago Antúnez de Mayolo,Áncash/Huaraz,01-01-2019,Áncash/Huaraz
Escuela de Postgrado Neumann Business School S.A.C.,Tacna/Tacna,15-12-2018,Tacna/Tacna
Universidad Nacional Autónoma de Chota,Cajamarca/Chota,08-12-2018,Cajamarca/Chota
Universidad Le Cordon Bleu S.A.C.,Lima/Lima,16-11-2018,Lima/Lima
Universidad Nacional de Ucayali,Ucayali/Coronel Portillo,15-11-2018,Ucayali/Coronel Portillo
Universidad María Auxiliadora,Lima/Lima,19-10-2018,Lima/Lima
Universidad Nacional Autónoma Altoandina de Tarma,Junín/Tarma,19-10-2018,Junín/Tarma
Universidad Nacional Intercultural de la Amazonia,Ucayali/Coronel Portillo,27-09-2018,Ucayali/Coronel Portillo
